Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,710,Non-REM Sleep,14,0.81292411,0.419905866,1.485453282,0.255142445,
AAL,720,Non-REM Sleep,16.5,0.61888589,0.232347362,1.765755114,1.091071525,
AAL,730,Non-REM Sleep,16,0.59621096,0.234648674,1.583949438,0.23544331,
AAL,740,Non-REM Sleep,21,0.521327547,0.477069349,2.301040731,1.374157782,
AAL,750,Non-REM Sleep,18,0.343409662,0.240039222,2.012409132,1.426416876,
AAL,760,Non-REM Sleep,16,0.350260756,0.096559421,1.686681757,1.122975467,
AAL,770,Non-REM Sleep,15,0.326116361,0.028375225,1.498675871,0.097581216,
AAL,780,Non-REM Sleep,17.5,0.270716369,0.222578545,1.975904446,2.106984607,
AAL,790,Non-REM Sleep,18.5,0.621663995,0.478867323,1.878964157,0.592403073,
AAL,800,Non-REM Sleep,20,0.392416083,0.523074417,2.170909895,1.557775738,
AAL,810,Non-REM Sleep,17,0.505149433,0.032095556,1.719537703,0.102327344,
AAL,820,Non-REM Sleep,16.5,0.460963389,0.027365275,1.674158332,0.098506519,
AAL,830,Non-REM Sleep,17,0.59369662,0.538181677,1.756185108,0.766728383,
AAL,840,Non-REM Sleep,17.5,0.546064389,0.560715353,1.861602539,1.355555567,
AAL,850,Non-REM Sleep,17.5,0.521269137,0.193184269,1.785226258,0.790123681,
AAL,860,Non-REM Sleep,16,0.475544293,0.575943683,1.729900781,1.044130691,
AAL,870,Non-REM Sleep,15,0.405160811,0.046148511,1.506194472,0.165528493,
AAL,880,Non-REM Sleep,15,0.379609222,0.050559027,1.538275427,0.170815206,
AAL,890,Non-REM Sleep,15.5,0.437297987,0.050667229,1.510708302,0.10404158,
AAL,900,Non-REM Sleep,15,0.450696188,0.044715486,1.543342964,0.099783813,
AAL,910,Non-REM Sleep,16,0.485264988,0.083218316,1.574286434,0.241508423,
AAL,920,Non-REM Sleep,15,0.7016493,0.122111127,1.536410259,0.14201823,
AAL,930,Non-REM Sleep,16,0.689616579,0.098809151,1.585748132,0.484168443,
AAL,940,Non-REM Sleep,15,0.65823366,0.043924766,1.517272549,0.102110953,
AAL,950,Non-REM Sleep,15.5,0.584316988,0.036145052,1.527109704,0.102779666,
AAL,960,Non-REM Sleep,15.5,0.533997086,0.053459466,1.565048385,0.231512102,
AAL,970,Non-REM Sleep,15,0.210328121,0.053541863,1.524106343,0.143894052,
AAL,980,Non-REM Sleep,15.5,0.190984813,0.024981125,1.546757754,0.109288311,
AAL,990,Non-REM Sleep,15.5,0.199846055,0.078285807,1.569441079,0.292173881,
AAL,1000,Non-REM Sleep,15.5,0.158486639,0.022626248,1.535886265,0.098415157,
AAL,1010,Non-REM Sleep,16,0.157424321,0.041741996,1.871279049,2.210207924,
AAL,1010,REM Sleep,64,4.080883138,0.968278988,6.5392813,0.94832424,
AAL,1020,Non-REM Sleep,16,0.150352775,0.029489691,1.796854586,1.992241576,
AAL,1020,REM Sleep,68,4.648939132,2.096055565,7.192647746,1.973462106,
AAL,1030,Non-REM Sleep,24.5,0.243032697,0.306486423,2.589442683,1.015902118,
AAL,1030,REM Sleep,68,4.377053173,2.179998258,7.3001238,2.422957202,
AAL,1040,Non-REM Sleep,27.5,0.173590586,0.293885537,2.78408766,0.675406521,
AAL,1040,REM Sleep,68,4.393239553,2.098496178,7.346880065,1.929029234,
AAL,1050,Non-REM Sleep,25,0.175688182,0.254809949,2.66849881,1.11366543,
AAL,1050,REM Sleep,80,4.256198776,1.645294796,8.656001071,3.34818431,
AAL,1060,Non-REM Sleep,25.5,0.169371713,0.255439127,2.721790005,1.180421378,
AAL,1060,REM Sleep,80,3.883423692,1.128846065,8.350597723,1.859950343,
AAL,1070,Non-REM Sleep,22.5,0.191276282,0.222610839,2.507248197,1.454959312,
AAL,1070,REM Sleep,68,2.959293508,1.518486269,7.370444318,2.076763242,
AAL,1080,Non-REM Sleep,16.5,0.685359137,0.459577051,1.771670214,1.116302219,
AAL,1080,REM Sleep,74,4.246167878,1.520894454,7.869577311,2.248706072,
AAL,1090,Non-REM Sleep,15,0.681953988,0.07944889,1.522198938,0.316217818,
AAL,1090,REM Sleep,80,3.619208826,1.089964983,8.543699865,2.842474628,
AAL,1100,Non-REM Sleep,15,0.6798774,0.107043804,1.519239404,0.199462391,
AAL,1100,REM Sleep,82,4.241880967,0.897268956,8.639462393,1.983800462,
AAL,1110,Non-REM Sleep,15,0.673184303,0.093826304,1.500642598,0.181718938,
AAL,1110,REM Sleep,66,3.638480857,1.439539112,8.216737096,2.392748162,
